Date,IntDate,Open,High,Low,Close,Adj Close,Volume
8/30/2010,746,39.990002,42.700001,39.110001,42.509998,33.514683,2125700
9/6/2010,747,42.439999,43.040001,41.509998,42.919998,33.837936,1644600
9/13/2010,748,43.380001,44,42.299999,43.32,34.153294,1826200
9/20/2010,749,43.540001,44.27,42.759998,44.040001,34.924171,2868400
9/27/2010,750,44.040001,46.43,43.32,45.77,36.296078,2737600
10/4/2010,751,45.73,48.66,45.130001,48.389999,38.373764,2720100
10/11/2010,752,48.41,50.459999,48.07,49.169998,38.992321,2253100
10/18/2010,753,49.34,49.490002,45.029999,47.299999,37.509384,6797700
10/25/2010,754,47.5,47.970001,44.759998,44.810001,35.534794,2599600
11/1/2010,755,44.950001,48.299999,44.759998,46.830002,37.136665,4072900
11/8/2010,756,46.75,47.959999,46.73,46.959999,37.239761,2095800
11/15/2010,757,47.240002,48.310001,45.849998,48.200001,38.223103,1709900
11/22/2010,758,47.77,48.43,46.91,47,37.271477,1460500
11/29/2010,759,46.779999,48.310001,46.119999,48.040001,38.096214,2015100
12/6/2010,760,47.919998,48.310001,47.130001,47.869999,37.961395,2243200
12/13/2010,761,48,48.040001,45.959999,47.740002,37.858311,2656100
12/20/2010,762,47.830002,48.639999,47.310001,48.209999,38.474331,1656600
12/27/2010,763,48.009998,48.32,47.59,47.669998,38.043377,972400
1/3/2011,764,48,49.43,46.900002,47.119999,37.604446,3299600
1/10/2011,765,47,47.849998,46.080002,47.27,37.724159,2714600
1/17/2011,766,47.18,47.540001,46.02,46.200001,36.870235,1421800
1/24/2011,767,46.290001,47.049999,45.549999,45.630001,36.41534,2367500
1/31/2011,768,45.720001,55.369999,45.18,53.77,42.911522,8116400
2/7/2011,769,53.610001,55.43,53.610001,55.27,44.10862,4853300
2/14/2011,770,55,55.41,53.990002,55.189999,44.044769,2937200
2/21/2011,771,54.439999,54.77,52.380001,54,43.095078,2466700
2/28/2011,772,54.189999,57.689999,52.52,56.490002,45.082241,4789400
3/7/2011,773,56.490002,58.790001,55.869999,58.610001,46.774124,3678600
3/14/2011,774,57.959999,58.91,56.32,56.82,45.345596,3416600
3/21/2011,775,57.799999,58.68,56.950001,57.139999,45.83762,2599300
3/28/2011,776,57.580002,60.57,57.139999,59.41,47.658604,2141400
4/4/2011,777,59.669998,60.110001,58.080002,58.73,47.11311,2049700
4/11/2011,778,58.549999,60.509998,57.580002,59.75,47.931366,2278300
4/18/2011,779,58.68,61.66,57.389999,61.110001,49.022343,1631100
4/25/2011,780,61.049999,65.839996,60.790001,63.669998,51.075977,3303500
5/2/2011,781,63.720001,64.349998,61.799999,64.199997,51.501137,3721400
5/9/2011,782,64.5,66.82,63.689999,63.700001,51.100037,3303600
5/16/2011,783,63.52,63.919998,61.07,62.470001,50.113338,2497000
5/23/2011,784,61.57,65.690002,61.490002,65.019997,52.158936,2231300
5/30/2011,785,65.5,66.220001,62.57,63.380001,50.843342,4098600
6/6/2011,786,63.119999,64.360001,62.02,62.330002,50.001022,2749500
6/13/2011,787,62.5,64.209999,60.580002,62.66,50.265751,2867700
6/20/2011,788,62.43,67.760002,62.27,64.830002,52.260082,3544000
6/27/2011,789,65.099998,69.639999,64.589996,69.599998,56.10524,2476000
7/4/2011,790,69.599998,71.540001,68.839996,71.449997,57.596531,1793500
7/11/2011,791,70.559998,70.730003,68.07,69.730003,56.210018,2467900
7/18/2011,792,69.360001,70.889999,68.099998,70.809998,57.080631,1490500
7/25/2011,793,69.879997,71.989998,60.830002,62.490002,50.373798,6669700
8/1/2011,794,63.77,64.059998,55,56.470001,45.521015,5486300
8/8/2011,795,54.330002,64.639999,52.5,64.019997,51.607132,8138300
8/15/2011,796,64.610001,65.25,59.009998,59.740002,48.156998,4877100
8/22/2011,797,61.799999,65,59.16,64.75,52.195602,2528100
8/29/2011,798,65.529999,67.610001,63.279999,63.880001,51.494289,3854000
9/5/2011,799,62.139999,66.940002,61.32,61.970001,49.954624,2399500
9/12/2011,800,60.860001,63.689999,59.529999,61.599998,49.656345,4642200
9/19/2011,801,60.439999,62.830002,53.869999,55.630001,45.064281,3852500
9/26/2011,802,55.66,59.630001,53.720001,53.740002,43.533241,3123000
10/3/2011,803,53,54.77,49.860001,52.169998,42.261433,4958000
10/10/2011,804,53.220001,57.720001,53.209999,57.419998,46.514305,3066000
10/17/2011,805,57.279999,57.959999,54.16,56.380001,45.671844,2816400
10/24/2011,806,56.57,61.349998,56.02,59.470001,48.17495,4557800
10/31/2011,807,58.349998,58.470001,53.619999,55.43,44.902264,3260100
11/7/2011,808,55.049999,56.34,52.900002,55.700001,45.120995,3026000
11/14/2011,809,55.380001,55.84,54.25,54.959999,44.521526,3133200
11/21/2011,810,54.09,54.950001,52.779999,53.099998,43.014801,1878800
11/28/2011,811,54.889999,59.450001,54.580002,57.459999,46.546711,2939400
12/5/2011,812,58.360001,58.360001,55.389999,56.689999,45.922951,2801400
12/12/2011,813,55.82,56.400002,53.869999,54.27,43.962578,3411700
12/19/2011,814,54.619999,56.119999,53,56.110001,45.704521,1747800
12/26/2011,815,56,57.380001,55.669998,55.970001,45.590477,1217600
1/2/2012,816,56.790001,56.970001,54.880001,55.639999,45.321678,1260500
1/9/2012,817,55.799999,56.91,55.330002,56.849998,46.307285,1792100
1/16/2012,818,57.25,59.709999,56.869999,59.18,48.205189,1171100
1/23/2012,819,59.169998,64.25,58.990002,64.059998,52.180199,2242700
1/30/2012,820,63.490002,64.449997,59.650002,61.369999,49.989052,5823300
2/6/2012,821,60.970001,63.09,60.650002,61.860001,50.388187,2605100
2/13/2012,822,62.330002,62.68,60.93,61.209999,49.858723,2574200
2/20/2012,823,61.259998,62.98,60.650002,62.130001,50.608116,1906800
2/27/2012,824,61.66,63.849998,61.110001,62.400002,50.828049,2501000
3/5/2012,825,62.279999,64,60.759998,64,52.131329,1899000
3/12/2012,826,63.790001,64.989998,62.939999,62.98,51.300491,1951600
3/19/2012,827,62.970001,63.68,61.860001,63.200001,51.773487,1360100
3/26/2012,828,63.650002,63.84,61.939999,63.5,52.019238,1596400
4/2/2012,829,63.5,64.360001,62.16,62.810001,51.453999,1677600
4/9/2012,830,62.150002,63.189999,60.110001,60.43,49.504295,2695700
